accession,superkingdom,phylum,class,order,family,genus,species
GCF_001466665.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas,Dehalogenimonas alkenigignens
GCA_002419135.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,UBA5627,UBA5627 sp002419135
GCA_002421585.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,UBA5627,UBA5627 sp002421585
GCA_003141235.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,RBG-16-60-22,Fen-1077,Fen-1077 sp003141235
GCA_001796525.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,RBG-16-60-22,RBG-13-51-18,RBG-13-51-18 sp001796525
GCA_001796495.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,RBG-16-60-22,RBG-13-51-18,RBG-13-51-18 sp001796495
GCA_002362735.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA3254,UBA3254,UBA3254 sp002362735
GCA_003162335.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA3254,Fen-1064,Fen-1064 sp003162335
GCA_003153075.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA3254,Fen-1064,Fen-1064 sp003153075
GCA_003484395.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,UBA5629,UBA5629,UBA5629 sp003484395
GCA_004376545.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,E44-bin10,E44-bin10 sp004376545
GCA_003556385.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,E29-bin54,E29-bin54 sp003556385
GCA_003567655.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,E29-bin54,E29-bin54 sp003567655
GCA_003552465.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,E29-bin54,E29-bin54 sp003552465
GCA_004377135.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,E44-bin10,E44-bin10 sp004377135
GCA_007129495.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,SKVJ01,SKVJ01 sp007129495
GCA_003562475.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,SKVJ01,SKVJ01 sp003562475
GCA_004376695.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,AB-539-J10,E29-bin54,E29-bin54 sp004376695
GCA_002421445.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,UBA5629,UBA5629,UBA5629 sp002421445
GCA_003142375.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,UBA5629,UBA1162,UBA1162 sp003142375
GCA_002311135.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,UBA5629,UBA1162,UBA1162 sp002311135
GCA_002452695.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,UBA5629,UBA6808,UBA6808 sp002452695
GCA_002383665.1,Bacteria,Chloroflexota,Dehalococcoidia,GIF9,UBA5629,UBA6808,UBA6808 sp002383665
GCA_002694895.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,GCA-002694895,GCA-002694895,GCA-002694895 sp002694895
GCA_002328865.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA11138,UBA2160,UBA2160 sp002328865
GCA_002710885.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA11138,UBA1123,UBA1123 sp002710885
GCA_002313895.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA11138,UBA1123,UBA1123 sp002313895
GCA_003213095.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA826,AG-426-M11,AG-426-M11 sp003213095
GCA_002722155.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA826,UBA11996,UBA11996 sp002722155
GCA_002320875.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA826,UBA11996,UBA11996 sp002320875
GCA_003228685.1,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,RBG-16-68-14,SZUA-185,SZUA-185 sp003228685
GCA_001795235.1,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,RBG-16-64-32,RBG-16-64-32,RBG-16-64-32 sp001795235
GCA_005882715.1,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,RBG-16-64-32,CF-163,CF-163 sp005882715
GCA_005880075.1,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,RBG-16-64-32,CF-163,CF-163 sp005880075
GCA_002696685.1,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA826,GCA-002712965,GCA-002712965 sp002696685
GCA_002311865.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,UBA1151,UBA1151 sp002311865
GCA_002714085.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,GCA-002725925,GCA-002725925 sp002714085
GCA_002728715.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,GCA-002708145,GCA-002708145 sp002728715
GCA_002708145.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,GCA-002708145,GCA-002708145 sp002708145
GCA_002718415.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,GCA-2718415,GCA-2718415 sp002718415
GCA_002687335.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,GCA-002725925,GCA-002725925 sp002687335
GCA_002501045.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,UBA1328,UBA1328 sp002501045
GCA_002306815.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,UBA1328,UBA1328 sp002306815
GCA_002171675.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,TMED-70,TMED-70,TMED-70 sp002171675
GCA_002721675.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,TMED-70,GCA-002700125,GCA-002700125 sp002721675
GCA_002723375.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,TMED-70,GCA-002700125,GCA-002700125 sp002723375
GCA_002721615.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,TMED-70,GCA-2721615,GCA-2721615 sp002721615
GCA_002708085.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,TMED-70,GCA-2721615,GCA-2721615 sp002708085
GCA_002699165.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,TMED-70,TMED-70,TMED-70 sp002699165
GCA_002710905.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,GCA-002718395,GCA-002718395,GCA-002718395 sp002710905
GCA_004296805.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,SURF-43,SURF-43 sp004296805
GCA_003670575.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,RH-chloro-G1,RH-chloro-G1 sp003670575
GCA_003670735.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,RH-chloro-G1,RH-chloro-G1 sp003670735
GCA_002840675.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,W-Chloroflexi-9,W-Chloroflexi-9 sp002840675
GCA_004297315.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,SURF-43,SURF-43 sp004297315
GCA_002348225.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,UBA2979 sp002348225
GCA_002701625.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,UBA2979 sp002701625
GCA_002707835.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA6955,UBA6955 sp002707835
GCA_002716405.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA6955,UBA6955 sp002716405
GCA_002339805.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA2588,UBA2588,UBA2588 sp002339805
GCA_002328185.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,UBA9611 sp002328185
GCA_002817055.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA1141,UBA1141 sp002817055
GCA_002816455.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA1141,UBA1141 sp002816455
GCA_002708395.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA11650,UBA11650 sp002708395
GCA_002401285.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA11650,UBA11650 sp002401285
GCA_002716645.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA3495,UBA3495 sp002716645
GCA_002724585.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA3495,UBA3495 sp002724585
GCA_002707185.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,GCA-2707185,GCA-2707185 sp002707185
GCA_002816575.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,UBA9611 sp002816575
GCA_002730485.1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,UBA9611 sp002730485
GCA_003243965.1,Bacteria,Chloroflexota,Ellin6529,QHBO01,QHBO01,QHBO01,QHBO01 sp003243965
GCA_003670475.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,UBA10416,UBA10416,UBA10416 sp003670475
GCA_001795245.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,UBA5189,UBA5189 sp001795245
GCA_005880805.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,CF-16,CF-16 sp005880805
GCA_005883615.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,CF-16,CF-16 sp005883615
GCA_003171065.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,Fen-1039,Fen-1039 sp003171065
GCA_003171255.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,Fen-1039,Fen-1039 sp003171255
GCA_003152165.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,Palsa-1033,Palsa-1033 sp003152165
GCA_003169655.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,Palsa-1033,Palsa-1033 sp003169655
GCA_005889475.1,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,UBA5189,UBA5189 sp005889475
GCA_005881435.1,Bacteria,Chloroflexota,Ellin6529,P2-11E,CF-107,CF-107,CF-107 sp005881435
GCA_002404155.1,Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,UBA4735,UBA4735 sp002404155
GCA_005881885.1,Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,3-1-20CM-2-70-9,3-1-20CM-2-70-9 sp005881885
GCA_005889445.1,Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,3-1-20CM-2-70-9,3-1-20CM-2-70-9 sp005889445
GCA_005889405.1,Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,CF-39,CF-39 sp005889405
GCA_005882255.1,Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,CF-39,CF-39 sp005882255
GCA_002293275.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,UBA947,UBA947 sp002293275
GCA_003282425.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003282425
GCA_000737945.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Atelocyanobacterium,Atelocyanobacterium thalassa_A
GCF_000317495.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Crinalium,Crinalium epipsammum
GCF_003003845.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon polymorphus
GCF_000317145.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon minutus
GCF_002964865.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Chroogloeocystis,Chroogloeocystis sp002964865
GCF_000332075.2,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Aliterella,Aliterella sp000332075
GCF_000952155.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Aliterella,Aliterella atlantica
GCF_004348865.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis millei_A
GCF_000317125.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis thermalis
GCF_002749975.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Chroogloeocystis,Chroogloeocystis sp002749975
GCF_000317515.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,PCC7113,PCC7113 sp000317515
GCF_000155555.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus chthonoplastes
GCA_003511885.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus sp003511885
GCF_001767235.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Moorea,Moorea producens_A
GCF_000211815.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Moorea,Moorea producens
GCF_002356215.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Limnothrix,Limnothrix sp002356215
GCA_003566215.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Cyanobacterium,Cyanobacterium sp003566215
GCA_002813895.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Cyanobacterium,Cyanobacterium sp002813895
GCF_000317675.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Geminocystis,Geminocystis aponina
GCF_001548115.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Geminocystis,Geminocystis sp001548115
GCF_001693255.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Limnothrix,Limnothrix sp001693255
GCA_001890975.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Roseofilum,Roseofilum reptotaenium
GCA_005518205.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Hormoscilla,Hormoscilla sp005518205
GCA_005518235.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Hormoscilla,Hormoscilla sp005518235
GCF_001746915.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Desertifilum,Desertifilum sp001746915
GCA_002340255.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Roseofilum,Roseofilum sp002340255
GCA_003695795.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,J055,J055 sp003695795
GCA_001657325.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Geitlerinema,Geitlerinema sp001657325
GCF_000332355.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Geitlerinema,Geitlerinema sp000332355
GCA_004299065.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Phormidium_A,Phormidium_A sp004299065
GCA_001314905.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Phormidium_A,Phormidium_A sp001314905
GCA_003448685.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Rippkaea,Rippkaea sp003448685
GCF_000025125.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Atelocyanobacterium,Atelocyanobacterium thalassa
GCF_000169335.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Crocosphaera,Crocosphaera chwakensis
GCF_002172675.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Crocosphaera,Crocosphaera sp002172675
GCF_000021825.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Gloeothece,Gloeothece citriformis
GCF_000147335.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Gloeothece,Gloeothece verrucosa
GCF_001904635.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Hydrococcus,Hydrococcus rivularis
GCF_000317025.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Hydrococcus,Hydrococcus minor
GCF_002095975.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Microcystis,Microcystis panniformis
GCF_000010625.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Microcystis,Microcystis aeruginosa
GCF_003574135.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Rippkaea,Rippkaea sp003574135
GCF_000284455.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Synechocystis,Synechocystis sp000284455
GCF_000478825.2,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Synechocystis,Synechocystis sp000478825
GCF_000315565.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Mastigocladopsis,Mastigocladopsis repens
GCA_003990705.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Anabaenopsis,Anabaenopsis sp003990705
GCF_000316625.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Anabaenopsis,Anabaenopsis sp000316625
GCF_002368195.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Aulosira,Aulosira sp002368195
GCF_002368055.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Aulosira,Aulosira laxa_A
GCF_002289455.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Calothrix,Calothrix elsteri
GCF_000734895.2,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Calothrix,Calothrix sp000734895
GCF_000332255.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Chlorogloeopsis,Chlorogloeopsis sp000332255
GCF_000317285.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Chlorogloeopsis,Chlorogloeopsis fritschii
GCA_003994795.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Cylindrospermum,Cylindrospermum sp003994795
GCF_000317535.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Cylindrospermum,Cylindrospermum stagnale
GCF_000426925.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Dolichospermum,Dolichospermum circinale
GCF_005402965.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Dolichospermum,Dolichospermum planctonicum
GCF_001990805.2,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Fischerella,Fischerella laminosa_A
GCF_000517105.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Fischerella,Fischerella sp000517105
GCF_000340565.2,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nodularia,Nodularia spumigena
GCF_002218065.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nodularia,Nodularia sp002218065
GCF_002949795.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc,Nostoc sp002949795
GCF_002246015.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc,Nostoc sp002246015
GCA_001698435.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc_B,Nostoc_B sp001698435
GCF_001298445.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc_B,Nostoc_B piscinale
GCA_003326215.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc_C,Nostoc_C minutum
GCF_002368335.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc_C,Nostoc_C sp002368335
GCF_002368135.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Raphidiopsis,Raphidiopsis curvata
GCF_000175855.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Raphidiopsis,Raphidiopsis brookii_A
GCA_000613065.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Richelia,Richelia intracellularis_B
GCF_000350105.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Richelia,Richelia intracellularis
GCF_002368095.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Rivularia,Rivularia parasitica
GCA_002361335.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Rivularia,Rivularia sp002361335
GCF_000828075.2,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Tolypothrix_B,Tolypothrix_B campylonemoides
GCF_002368435.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Tolypothrix_B,Tolypothrix_B sp002368435
GCF_002218085.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Tolypothrix_C,Tolypothrix_C sp002218085
GCF_000582685.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Tolypothrix_C,Tolypothrix_C hofmanni
GCF_002896875.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus,Trichormus sp002896875
GCF_000204075.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus,Trichormus variabilis_A
GCF_003991935.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus_A,Trichormus_A variabilis_A
GCF_001858025.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus_A,Trichormus_A sp001858025
GCA_004294385.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Microcoleus,Microcoleus sp004294385
GCF_000173555.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Arthrospira,Arthrospira maxima_A
GCF_000210375.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Arthrospira,Arthrospira platensis
GCA_001698425.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Kamptonema,Kamptonema sp001698425
GCF_000332155.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Kamptonema,Kamptonema formosum
GCF_000169095.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Lyngbya,Lyngbya sp000169095
GCF_000478195.2,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Lyngbya,Lyngbya aestuarii
GCF_003003725.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Microcoleus,Microcoleus sp003003725
GCA_003542015.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Microcoleus,Microcoleus sp003542015
GCF_900009145.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Planktothrix,Planktothrix tepida
GCF_000464785.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Planktothrix,Planktothrix rubescens_A
GCA_003021505.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Rubidibacteraceae,QS-4-48-99,QS-4-48-99 sp003021505
GCF_000317615.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Rubidibacteraceae,Halothece,Halothece salina
GCF_000317635.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Rubidibacteraceae,Halothece,Halothece sp000317635
GCF_000380225.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Spirulinaceae,ESFC-1,ESFC-1 sp000380225
GCF_000314005.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Spirulinaceae,Spirulina,Spirulina subsalsa
GCF_001890765.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Spirulinaceae,Spirulina,Spirulina major
GCF_000317575.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Stanieria,Stanieria cyanosphaera
GCF_002368355.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa,Pleurocapsa sp002368355
GCF_003003995.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa,Pleurocapsa sp003003995
GCF_000332055.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Xenococcus,Xenococcus sp000332055
GCF_002355455.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Stanieria,Stanieria sp002355455
GCA_001899385.1,Bacteria,Cyanobacteria,Vampirovibrionia,Caenarcaniphilales,Caenarcanaceae,Caenarcanum,Caenarcanum bioreactoricola
GCA_001784615.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,UBA9579,UBA9579,UBA9579 sp001784615
GCA_900551915.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,QAMI01,QAMI01 sp900551915
GCA_900321205.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,CAG-196,CAG-196 sp900321205
GCF_900552525.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,CAG-196,CAG-196 sp002102975
GCA_000431315.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,CAG-484,CAG-484 sp000431315
